Borough,Borough/Citywide Office (B/CO),District,DBN,school_name_x,School Category,Program,Language,General/Special Education,school_name_y,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,math_score,fl_score,history_score,science_score,english_score
Manhattan,Manhattan,1,01M184,P.S. 184m Shuang Wen,K-8,Dual Language,Chinese,General Education,P.S. 184m Shuang Wen,2019-20,707,36,76,58,63,62,51,62,101,107,91,0,0,0,0,355,0.502,352,0.498,498,0.7040000000000001,24,0.034,84,0.11900000000000001,49,0.069,52,0.07400000000000001,117,0.165,99,0.14,469,66.3%,67.2,84.52000000000001,,,87.73333333333335,
Manhattan,Manhattan,1,01M184,P.S. 184m Shuang Wen,K-8,Dual Language,Chinese,Special Education,P.S. 184m Shuang Wen,2019-20,707,36,76,58,63,62,51,62,101,107,91,0,0,0,0,355,0.502,352,0.498,498,0.7040000000000001,24,0.034,84,0.11900000000000001,49,0.069,52,0.07400000000000001,117,0.165,99,0.14,469,66.3%,67.2,84.52000000000001,,,87.73333333333335,
Manhattan,Manhattan,1,01M378,School for Global Leaders,Junior High-Intermediate-Middle,Dual Language,Chinese,General Education,School for Global Leaders,2019-20,204,0,0,0,0,0,0,0,47,67,90,0,0,0,0,89,0.436,115,0.564,17,0.083,50,0.245,121,0.593,6,0.028999999999999998,10,0.049,83,0.40700000000000003,17,0.083,172,84.3%,84.7,75.46000000000001,,,,
Manhattan,Manhattan,2,02M131,M.S. 131,Junior High-Intermediate-Middle,Dual Language,Chinese,General Education,M.S. 131,2019-20,304,0,0,0,0,0,0,0,59,105,140,0,0,0,0,124,0.408,180,0.5920000000000001,223,0.7340000000000001,26,0.086,46,0.151,2,0.006999999999999999,7,0.023,72,0.237,70,0.23,269,88.5%,85.1,86.46666666666665,,,82.02499999999999,
Manhattan,Bronx,2,02M542,Manhattan Bridges High School,High school,Dual Language,Spanish,General Education,Manhattan Bridges High School,2019-20,520,0,0,0,0,0,0,0,0,0,0,150,182,106,82,263,0.506,257,0.494,1,0.002,1,0.002,515,0.99,2,0.004,1,0.002,28,0.054000000000000006,189,0.363,443,85.2%,92.7,67.97,88.84,72.86,67.02000000000001,73.39999999999999
Manhattan,Manhattan,2,02M545,High School for Dual Language and Asian Studies,High school,Dual Language,Chinese,General Education,High School for Dual Language and Asian Studies,2019-20,396,0,0,0,0,0,0,0,0,0,0,91,106,99,100,232,0.586,164,0.414,367,0.927,7,0.018000000000000002,11,0.027999999999999997,2,0.005,9,0.023,12,0.03,58,0.146,339,85.6%,82.2,80.80999999999999,87.56,85.41,81.06315789473686,80.11428571428573
Manhattan,Manhattan,3,03M165,P.S. 165 Robert E. Simon,Elementary,Dual Language,Spanish,General Education,P.S. 165 Robert E. Simon,2019-20,432,35,84,58,56,62,65,72,0,0,0,0,0,0,0,217,0.502,215,0.498,27,0.063,64,0.14800000000000002,232,0.537,8,0.019,101,0.23399999999999999,83,0.192,37,0.086,269,62.3%,64.0,63.1,,,,
Manhattan,Manhattan,3,03M180,P.S. 180 Hugo Newman,K-8,Dual Language,Spanish,General Education,P.S. 180 Hugo Newman,2019-20,513,78,68,46,40,48,42,46,43,53,49,0,0,0,0,235,0.45799999999999996,278,0.542,15,0.028999999999999998,246,0.48,156,0.304,23,0.045,73,0.142,102,0.19899999999999998,51,0.099,348,67.8%,70.2,59.125,,,55.760000000000005,
Manhattan,Manhattan,3,03M247,M.S. M247 Dual Language Middle School,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,M.S. M247 Dual Language Middle School,2019-20,231,0,0,0,0,0,0,0,85,77,69,0,0,0,0,125,0.541,106,0.45899999999999996,2,0.009000000000000001,4,0.017,216,0.935,0,0.0,9,0.039,65,0.281,54,0.23399999999999999,199,86.1%,85.2,79.425,,,,
Manhattan,Manhattan,3,03M247,M.S. M247 Dual Language Middle School,Junior High-Intermediate-Middle,Dual Language,Spanish,Special Education,M.S. M247 Dual Language Middle School,2019-20,231,0,0,0,0,0,0,0,85,77,69,0,0,0,0,125,0.541,106,0.45899999999999996,2,0.009000000000000001,4,0.017,216,0.935,0,0.0,9,0.039,65,0.281,54,0.23399999999999999,199,86.1%,85.2,79.425,,,,
