Borough,Borough/Citywide Office (B/CO),District,DBN,school_name_x,School Category,Program,Language,General/Special Education,school_name_y,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
Manhattan,Manhattan,1,01M020,P.S. 020 Anna Silver,Elementary,Dual Language,Chinese,General Education,P.S. 020 Anna Silver,2019-20,464,41,63,61,71,76,65,87,0,0,0,0,0,0,0,233,0.502,231,0.498,120,0.259,58,0.125,239,0.515,16,0.034,31,0.067,102,0.22,61,0.131,352,75.9%,78.2%
Manhattan,Manhattan,1,01M020,P.S. 020 Anna Silver,Elementary,Dual Language,Spanish,General Education,P.S. 020 Anna Silver,2019-20,464,41,63,61,71,76,65,87,0,0,0,0,0,0,0,233,0.502,231,0.498,120,0.259,58,0.125,239,0.515,16,0.034,31,0.067,102,0.22,61,0.131,352,75.9%,78.2%
Manhattan,Manhattan,1,01M184,P.S. 184m Shuang Wen,K-8,Dual Language,Chinese,General Education,P.S. 184m Shuang Wen,2019-20,707,36,76,58,63,62,51,62,101,107,91,0,0,0,0,355,0.502,352,0.498,498,0.7040000000000001,24,0.034,84,0.11900000000000001,49,0.069,52,0.07400000000000001,117,0.165,99,0.14,469,66.3%,67.2%
Manhattan,Manhattan,1,01M184,P.S. 184m Shuang Wen,K-8,Dual Language,Chinese,Special Education,P.S. 184m Shuang Wen,2019-20,707,36,76,58,63,62,51,62,101,107,91,0,0,0,0,355,0.502,352,0.498,498,0.7040000000000001,24,0.034,84,0.11900000000000001,49,0.069,52,0.07400000000000001,117,0.165,99,0.14,469,66.3%,67.2%
Manhattan,Manhattan,1,01M188,P.S. 188 The Island School,K-8,Dual Language,Spanish,General Education,P.S. 188 The Island School,2019-20,398,13,29,24,50,33,50,39,55,48,57,0,0,0,0,181,0.455,217,0.545,11,0.027999999999999997,125,0.314,250,0.628,3,0.008,9,0.023,135,0.33899999999999997,39,0.098,Above 95%,Above 95%,Above 95%
Manhattan,Manhattan,1,01M378,School for Global Leaders,Junior High-Intermediate-Middle,Dual Language,Chinese,General Education,School for Global Leaders,2019-20,204,0,0,0,0,0,0,0,47,67,90,0,0,0,0,89,0.436,115,0.564,17,0.083,50,0.245,121,0.593,6,0.028999999999999998,10,0.049,83,0.40700000000000003,17,0.083,172,84.3%,84.7%
Manhattan,Manhattan,2,02M001,P.S. 001 Alfred E. Smith,Elementary,Dual Language,Chinese,General Education,P.S. 001 Alfred E. Smith,2019-20,247,18,27,35,38,39,47,43,0,0,0,0,0,0,0,111,0.449,136,0.551,112,0.45299999999999996,55,0.223,64,0.259,1,0.004,15,0.061,73,0.29600000000000004,49,0.198,187,75.7%,81.1%
Manhattan,Manhattan,2,02M131,M.S. 131,Junior High-Intermediate-Middle,Dual Language,Chinese,General Education,M.S. 131,2019-20,304,0,0,0,0,0,0,0,59,105,140,0,0,0,0,124,0.408,180,0.5920000000000001,223,0.7340000000000001,26,0.086,46,0.151,2,0.006999999999999999,7,0.023,72,0.237,70,0.23,269,88.5%,85.1%
Manhattan,Bronx,2,02M542,Manhattan Bridges High School,High school,Dual Language,Spanish,General Education,Manhattan Bridges High School,2019-20,520,0,0,0,0,0,0,0,0,0,0,150,182,106,82,263,0.506,257,0.494,1,0.002,1,0.002,515,0.99,2,0.004,1,0.002,28,0.054000000000000006,189,0.363,443,85.2%,92.7%
Manhattan,Manhattan,2,02M545,High School for Dual Language and Asian Studies,High school,Dual Language,Chinese,General Education,High School for Dual Language and Asian Studies,2019-20,396,0,0,0,0,0,0,0,0,0,0,91,106,99,100,232,0.586,164,0.414,367,0.927,7,0.018000000000000002,11,0.027999999999999997,2,0.005,9,0.023,12,0.03,58,0.146,339,85.6%,82.2%
