Borough,Borough/Citywide Office (B/CO),District,DBN,school_name_x,School Category,Program,Language,General/Special Education,school_name_y,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,mostCommonEthnicGroup,language_number
Manhattan,Manhattan,1,01M020,P.S. 020 Anna Silver,Elementary,Dual Language,Chinese,General Education,P.S. 020 Anna Silver,2019-20,464,41,63,61,71,76,65,87,0,0,0,0,0,0,0,233,0.502,231,0.498,120,0.259,58,0.125,239,0.515,16,0.034,31,0.067,102,0.22,61,0.131,352,75.9%,78.2%,0.515,2
Manhattan,Manhattan,1,01M184,P.S. 184m Shuang Wen,K-8,Dual Language,Chinese,General Education,P.S. 184m Shuang Wen,2019-20,707,36,76,58,63,62,51,62,101,107,91,0,0,0,0,355,0.502,352,0.498,498,0.7040000000000001,24,0.034,84,0.11900000000000001,49,0.069,52,0.07400000000000001,117,0.165,99,0.14,469,66.3%,67.2%,0.7040000000000001,2
Manhattan,Manhattan,1,01M184,P.S. 184m Shuang Wen,K-8,Dual Language,Chinese,Special Education,P.S. 184m Shuang Wen,2019-20,707,36,76,58,63,62,51,62,101,107,91,0,0,0,0,355,0.502,352,0.498,498,0.7040000000000001,24,0.034,84,0.11900000000000001,49,0.069,52,0.07400000000000001,117,0.165,99,0.14,469,66.3%,67.2%,0.7040000000000001,2
Manhattan,Manhattan,1,01M378,School for Global Leaders,Junior High-Intermediate-Middle,Dual Language,Chinese,General Education,School for Global Leaders,2019-20,204,0,0,0,0,0,0,0,47,67,90,0,0,0,0,89,0.436,115,0.564,17,0.083,50,0.245,121,0.593,6,0.028999999999999998,10,0.049,83,0.40700000000000003,17,0.083,172,84.3%,84.7%,0.593,2
Manhattan,Manhattan,2,02M001,P.S. 001 Alfred E. Smith,Elementary,Dual Language,Chinese,General Education,P.S. 001 Alfred E. Smith,2019-20,247,18,27,35,38,39,47,43,0,0,0,0,0,0,0,111,0.449,136,0.551,112,0.45299999999999996,55,0.223,64,0.259,1,0.004,15,0.061,73,0.29600000000000004,49,0.198,187,75.7%,81.1%,0.45299999999999996,2
Manhattan,Manhattan,2,02M002,P.S. 002 Meyer London,Elementary,Transitional Bilingual Education,Chinese,General Education,P.S. 002 Meyer London,2019-20,449,28,54,55,86,66,78,82,0,0,0,0,0,0,0,211,0.47,238,0.53,316,0.7040000000000001,46,0.102,80,0.17800000000000002,0,0.0,7,0.016,104,0.23199999999999998,144,0.321,Above 95%,Above 95%,92.0%,0.7040000000000001,2
Manhattan,Manhattan,2,02M042,P.S. 042 Benjamin Altman,Elementary,Transitional Bilingual Education,Chinese,Special Education,P.S. 042 Benjamin Altman,2019-20,557,43,89,80,95,86,88,76,0,0,0,0,0,0,0,263,0.47200000000000003,294,0.528,468,0.84,9,0.016,43,0.077,3,0.005,34,0.061,106,0.19,133,0.239,388,69.7%,77.9%,0.84,2
Manhattan,Manhattan,2,02M130,P.S. 130 Hernando De Soto,Elementary,Transitional Bilingual Education,Chinese,Special Education,P.S. 130 Hernando De Soto,2019-20,796,36,110,123,134,121,121,151,0,0,0,0,0,0,0,378,0.475,418,0.525,696,0.8740000000000001,3,0.004,42,0.053,34,0.043,21,0.026000000000000002,138,0.17300000000000001,127,0.16,366,46.0%,56.4%,0.8740000000000001,2
Manhattan,Manhattan,2,02M131,M.S. 131,Junior High-Intermediate-Middle,Dual Language,Chinese,General Education,M.S. 131,2019-20,304,0,0,0,0,0,0,0,59,105,140,0,0,0,0,124,0.408,180,0.5920000000000001,223,0.7340000000000001,26,0.086,46,0.151,2,0.006999999999999999,7,0.023,72,0.237,70,0.23,269,88.5%,85.1%,0.7340000000000001,2
Manhattan,Manhattan,2,02M545,High School for Dual Language and Asian Studies,High school,Dual Language,Chinese,General Education,High School for Dual Language and Asian Studies,2019-20,396,0,0,0,0,0,0,0,0,0,0,91,106,99,100,232,0.586,164,0.414,367,0.927,7,0.018000000000000002,11,0.027999999999999997,2,0.005,9,0.023,12,0.03,58,0.146,339,85.6%,82.2%,0.927,2
Manhattan,Manhattan,2,02M545,High School for Dual Language and Asian Studies,High school,Transitional Bilingual Education,Chinese,General Education,High School for Dual Language and Asian Studies,2019-20,396,0,0,0,0,0,0,0,0,0,0,91,106,99,100,232,0.586,164,0.414,367,0.927,7,0.018000000000000002,11,0.027999999999999997,2,0.005,9,0.023,12,0.03,58,0.146,339,85.6%,82.2%,0.927,2
Brooklyn,Brooklyn North,14,14K250,P.S. 250 George H. Lindsay,Elementary,Dual Language,Chinese,General Education,P.S. 250 George H. Lindsay,2019-20,407,30,56,53,66,61,64,76,1,0,0,0,0,0,0,195,0.479,212,0.521,71,0.174,58,0.14300000000000002,274,0.6729999999999999,3,0.006999999999999999,1,0.002,68,0.16699999999999998,44,0.10800000000000001,330,81.1%,86.4%,0.6729999999999999,2
Brooklyn,Brooklyn North,15,15K094,P.S. 094 The Henry Longfellow,Elementary,Dual Language,Chinese,General Education,P.S. 094 The Henry Longfellow,2019-20,1216,0,181,201,223,204,186,221,0,0,0,0,0,0,0,573,0.47100000000000003,643,0.529,850,0.6990000000000001,4,0.003,342,0.281,5,0.004,15,0.012,120,0.099,598,0.49200000000000005,Above 95%,Above 95%,94.8%,0.6990000000000001,2
